hexagram_id,hexagram_name,line_number,position,trigram,base_state,ternary_state,category,hexagram_binary
1,The Creative,6,upper,Qian,yang,yang,sovereign,111111
1,The Creative,5,upper,Qian,yang,yang,sovereign,111111
1,The Creative,4,upper,Qian,yang,yang,sovereign,111111
1,The Creative,3,lower,Qian,yang,yang,sovereign,111111
1,The Creative,2,lower,Qian,yang,yang,sovereign,111111
1,The Creative,1,lower,Qian,yang,yang,sovereign,111111
2,The Receptive,6,upper,Kun,yin,yin,transformer,000000
2,The Receptive,5,upper,Kun,yin,yin,transformer,000000
2,The Receptive,4,upper,Kun,yin,yin,transformer,000000
2,The Receptive,3,lower,Kun,yin,yin,transformer,000000
2,The Receptive,2,lower,Kun,yin,yin,transformer,000000
2,The Receptive,1,lower,Kun,yin,yin,transformer,000000
3,Difficulty at the Beginning,6,upper,Zhen,yin,yao,dissipator,010001
3,Difficulty at the Beginning,5,upper,Zhen,yang,yang,dissipator,010001
3,Difficulty at the Beginning,4,upper,Zhen,yin,yin,dissipator,010001
3,Difficulty at the Beginning,3,lower,Kan,yin,yin,dissipator,010001
3,Difficulty at the Beginning,2,lower,Kan,yin,yao,dissipator,010001
3,Difficulty at the Beginning,1,lower,Kan,yang,yang,dissipator,010001
4,Youthful Folly,6,upper,Kan,yang,yang,transformer,100010
4,Youthful Folly,5,upper,Kan,yin,yin,transformer,100010
4,Youthful Folly,4,upper,Kan,yin,yin,transformer,100010
4,Youthful Folly,3,lower,Gen,yin,yin,transformer,100010
4,Youthful Folly,2,lower,Gen,yang,yang,transformer,100010
4,Youthful Folly,1,lower,Gen,yin,yin,transformer,100010
5,Waiting,6,upper,Qian,yin,yao,dissipator,010111
5,Waiting,5,upper,Qian,yang,yang,dissipator,010111
5,Waiting,4,upper,Qian,yin,yao,dissipator,010111
5,Waiting,3,lower,Kan,yang,yang,dissipator,010111
5,Waiting,2,lower,Kan,yang,yang,dissipator,010111
5,Waiting,1,lower,Kan,yang,yang,dissipator,010111
6,Conflict,6,upper,Kan,yang,yang,transformer,111010
6,Conflict,5,upper,Kan,yang,yang,transformer,111010
6,Conflict,4,upper,Kan,yang,yang,transformer,111010
6,Conflict,3,lower,Qian,yin,yin,transformer,111010
6,Conflict,2,lower,Qian,yang,yang,transformer,111010
6,Conflict,1,lower,Qian,yin,yin,transformer,111010
7,The Army,6,upper,Kan,yin,yin,sovereign,000010
7,The Army,5,upper,Kan,yin,yin,sovereign,000010
7,The Army,4,upper,Kan,yin,yin,sovereign,000010
7,The Army,3,lower,Kun,yin,yin,sovereign,000010
7,The Army,2,lower,Kun,yang,yang,sovereign,000010
7,The Army,1,lower,Kun,yin,yin,sovereign,000010
8,Holding Together,6,upper,Kun,yin,yin,transformer,010000
8,Holding Together,5,upper,Kun,yang,yang,transformer,010000
8,Holding Together,4,upper,Kun,yin,yin,transformer,010000
8,Holding Together,3,lower,Kan,yin,yin,transformer,010000
8,Holding Together,2,lower,Kan,yin,yin,transformer,010000
8,Holding Together,1,lower,Kan,yin,yin,transformer,010000
9,Taming Power of the Small,6,upper,Qian,yang,yao,dissipator,110111
9,Taming Power of the Small,5,upper,Qian,yang,yang,dissipator,110111
9,Taming Power of the Small,4,upper,Qian,yin,yao,dissipator,110111
9,Taming Power of the Small,3,lower,Xun,yang,yang,dissipator,110111
9,Taming Power of the Small,2,lower,Xun,yang,yang,dissipator,110111
9,Taming Power of the Small,1,lower,Xun,yang,yang,dissipator,110111
10,Treading,6,upper,Dui,yang,yang,sovereign,111011
10,Treading,5,upper,Dui,yang,yang,sovereign,111011
10,Treading,4,upper,Dui,yang,yang,sovereign,111011
10,Treading,3,lower,Qian,yin,yin,sovereign,111011
10,Treading,2,lower,Qian,yang,yang,sovereign,111011
10,Treading,1,lower,Qian,yang,yang,sovereign,111011
11,Peace,6,upper,Qian,yin,yin,transformer,000111
11,Peace,5,upper,Qian,yin,yin,transformer,000111
11,Peace,4,upper,Qian,yin,yin,transformer,000111
11,Peace,3,lower,Kun,yang,yang,transformer,000111
11,Peace,2,lower,Kun,yang,yang,transformer,000111
11,Peace,1,lower,Kun,yang,yang,transformer,000111
