from_id,from_name,from_binary,to_id,to_name,to_binary,changed_line,line_position
1,The Creative,111111,44,Coming to Meet,011111,6,upper
1,The Creative,111111,13,Fellowship with Men,101111,5,upper
1,The Creative,111111,9,Taming Power of the Small,110111,4,upper
1,The Creative,111111,10,Treading,111011,3,lower
1,The Creative,111111,14,Possession in Great Measure,111101,2,lower
1,The Creative,111111,43,Breakthrough,111110,1,lower
2,The Receptive,000000,24,Return,100000,6,upper
2,The Receptive,000000,8,Holding Together,010000,5,upper
2,The Receptive,000000,15,Modesty,001000,4,upper
2,The Receptive,000000,16,Enthusiasm,000100,3,lower
2,The Receptive,000000,7,The Army,000010,2,lower
2,The Receptive,000000,23,Splitting Apart,000001,1,lower
3,Difficulty at the Beginning,010001,42,Increase,110001,6,upper
3,Difficulty at the Beginning,010001,23,Splitting Apart,000001,5,upper
3,Difficulty at the Beginning,010001,18,Work on Decayed,011001,4,upper
3,Difficulty at the Beginning,010001,64,Before Completion,010101,3,lower
3,Difficulty at the Beginning,010001,59,Dispersion,010011,2,lower
3,Difficulty at the Beginning,010001,8,Holding Together,010000,1,lower
4,Youthful Folly,100010,7,The Army,000010,6,upper
4,Youthful Folly,100010,60,Limitation,110010,5,upper
4,Youthful Folly,100010,63,After Completion,101010,4,upper
4,Youthful Folly,100010,17,Following,100110,3,lower
4,Youthful Folly,100010,24,Return,100000,2,lower
4,Youthful Folly,100010,41,Decrease,100011,1,lower
5,Waiting,010111,9,Taming Power of the Small,110111,6,upper
5,Waiting,010111,11,Peace,000111,5,upper
5,Waiting,010111,44,Coming to Meet,011111,4,upper
5,Waiting,010111,59,Dispersion,010011,3,lower
5,Waiting,010111,64,Before Completion,010101,2,lower
5,Waiting,010111,47,Oppression,010110,1,lower
6,Conflict,111010,48,The Well,011010,6,upper
6,Conflict,111010,63,After Completion,101010,5,upper
6,Conflict,111010,60,Limitation,110010,4,upper
6,Conflict,111010,43,Breakthrough,111110,3,lower
6,Conflict,111010,12,Standstill,111000,2,lower
6,Conflict,111010,10,Treading,111011,1,lower
7,The Army,000010,4,Youthful Folly,100010,6,upper
7,The Army,000010,29,The Abysmal,010010,5,upper
7,The Army,000010,40,Deliverance,001010,4,upper
7,The Army,000010,45,Gathering Together,000110,3,lower
7,The Army,000010,2,The Receptive,000000,2,lower
7,The Army,000010,20,Contemplation,000011,1,lower
8,Holding Together,010000,19,Approach,110000,6,upper
8,Holding Together,010000,2,The Receptive,000000,5,upper
8,Holding Together,010000,46,Pushing Upward,011000,4,upper
8,Holding Together,010000,39,Obstruction,010100,3,lower
8,Holding Together,010000,29,The Abysmal,010010,2,lower
8,Holding Together,010000,3,Difficulty at the Beginning,010001,1,lower
9,Taming Power of the Small,110111,5,Waiting,010111,6,upper
9,Taming Power of the Small,110111,25,Innocence,100111,5,upper
9,Taming Power of the Small,110111,1,The Creative,111111,4,upper
9,Taming Power of the Small,110111,61,Inner Truth,110011,3,lower
9,Taming Power of the Small,110111,38,Opposition,110101,2,lower
9,Taming Power of the Small,110111,58,The Joyous,110110,1,lower
10,Treading,111011,57,The Gentle,011011,6,upper
10,Treading,111011,37,The Family,101011,5,upper
10,Treading,111011,61,Inner Truth,110011,4,upper
10,Treading,111011,1,The Creative,111111,3,lower
10,Treading,111011,26,Taming Power of the Great,111001,2,lower
10,Treading,111011,6,Conflict,111010,1,lower
11,Peace,000111,25,Innocence,100111,6,upper
11,Peace,000111,5,Waiting,010111,5,upper
11,Peace,000111,33,Retreat,001111,4,upper
11,Peace,000111,20,Contemplation,000011,3,lower
11,Peace,000111,35,Progress,000101,2,lower
11,Peace,000111,45,Gathering Together,000110,1,lower
12,Standstill,111000,46,Pushing Upward,011000,6,upper
12,Standstill,111000,36,Darkening of the Light,101000,5,upper
12,Standstill,111000,19,Approach,110000,4,upper
12,Standstill,111000,34,Power of the Great,111100,3,lower
12,Standstill,111000,6,Conflict,111010,2,lower
12,Standstill,111000,26,Taming Power of the Great,111001,1,lower
13,Fellowship with Men,101111,33,Retreat,001111,6,upper
13,Fellowship with Men,101111,1,The Creative,111111,5,upper
13,Fellowship with Men,101111,25,Innocence,100111,4,upper
13,Fellowship with Men,101111,37,The Family,101011,3,lower
13,Fellowship with Men,101111,30,The Clinging,101101,2,lower
13,Fellowship with Men,101111,49,Revolution,101110,1,lower
14,Possession in Great Measure,111101,50,The Cauldron,011101,6,upper
14,Possession in Great Measure,111101,30,The Clinging,101101,5,upper
14,Possession in Great Measure,111101,38,Opposition,110101,4,upper
14,Possession in Great Measure,111101,26,Taming Power of the Great,111001,3,lower
14,Possession in Great Measure,111101,1,The Creative,111111,2,lower
14,Possession in Great Measure,111101,34,Power of the Great,111100,1,lower
15,Modesty,001000,36,Darkening of the Light,101000,6,upper
15,Modesty,001000,46,Pushing Upward,011000,5,upper
15,Modesty,001000,2,The Receptive,000000,4,upper
15,Modesty,001000,62,Preponderance of the Small,001100,3,lower
15,Modesty,001000,40,Deliverance,001010,2,lower
15,Modesty,001000,52,Keeping Still,001001,1,lower
16,Enthusiasm,000100,51,The Arousing,100100,6,upper
16,Enthusiasm,000100,39,Obstruction,010100,5,upper
16,Enthusiasm,000100,62,Preponderance of the Small,001100,4,upper
16,Enthusiasm,000100,2,The Receptive,000000,3,lower
16,Enthusiasm,000100,45,Gathering Together,000110,2,lower
16,Enthusiasm,000100,35,Progress,000101,1,lower
17,Following,100110,45,Gathering Together,000110,6,upper
17,Following,100110,58,The Joyous,110110,5,upper
17,Following,100110,49,Revolution,101110,4,upper
17,Following,100110,4,Youthful Folly,100010,3,lower
17,Following,100110,51,The Arousing,100100,2,lower
17,Following,100110,25,Innocence,100111,1,lower
18,Work on Decayed,011001,26,Taming Power of the Great,111001,6,upper
18,Work on Decayed,011001,52,Keeping Still,001001,5,upper
18,Work on Decayed,011001,3,Difficulty at the Beginning,010001,4,upper
18,Work on Decayed,011001,50,The Cauldron,011101,3,lower
18,Work on Decayed,011001,57,The Gentle,011011,2,lower
18,Work on Decayed,011001,46,Pushing Upward,011000,1,lower
19,Approach,110000,8,Holding Together,010000,6,upper
19,Approach,110000,24,Return,100000,5,upper
19,Approach,110000,12,Standstill,111000,4,upper
19,Approach,110000,54,The Marrying Maiden,110100,3,lower
19,Approach,110000,60,Limitation,110010,2,lower
19,Approach,110000,42,Increase,110001,1,lower
20,Contemplation,000011,41,Decrease,100011,6,upper
20,Contemplation,000011,59,Dispersion,010011,5,upper
20,Contemplation,000011,53,Development,001011,4,upper
20,Contemplation,000011,11,Peace,000111,3,lower
20,Contemplation,000011,23,Splitting Apart,000001,2,lower
20,Contemplation,000011,7,The Army,000010,1,lower
21,Biting Through,100101,35,Progress,000101,6,upper
21,Biting Through,100101,38,Opposition,110101,5,upper
21,Biting Through,100101,30,The Clinging,101101,4,upper
21,Biting Through,100101,27,Corners of the Mouth,100001,3,lower
21,Biting Through,100101,25,Innocence,100111,2,lower
21,Biting Through,100101,51,The Arousing,100100,1,lower
22,Grace,101001,52,Keeping Still,001001,6,upper
22,Grace,101001,26,Taming Power of the Great,111001,5,upper
22,Grace,101001,27,Corners of the Mouth,100001,4,upper
22,Grace,101001,30,The Clinging,101101,3,lower
22,Grace,101001,37,The Family,101011,2,lower
22,Grace,101001,36,Darkening of the Light,101000,1,lower
23,Splitting Apart,000001,27,Corners of the Mouth,100001,6,upper
23,Splitting Apart,000001,3,Difficulty at the Beginning,010001,5,upper
23,Splitting Apart,000001,52,Keeping Still,001001,4,upper
23,Splitting Apart,000001,35,Progress,000101,3,lower
23,Splitting Apart,000001,20,Contemplation,000011,2,lower
23,Splitting Apart,000001,2,The Receptive,000000,1,lower
24,Return,100000,2,The Receptive,000000,6,upper
24,Return,100000,19,Approach,110000,5,upper
24,Return,100000,36,Darkening of the Light,101000,4,upper
24,Return,100000,51,The Arousing,100100,3,lower
24,Return,100000,4,Youthful Folly,100010,2,lower
24,Return,100000,27,Corners of the Mouth,100001,1,lower
25,Innocence,100111,11,Peace,000111,6,upper
25,Innocence,100111,9,Taming Power of the Small,110111,5,upper
25,Innocence,100111,13,Fellowship with Men,101111,4,upper
25,Innocence,100111,41,Decrease,100011,3,lower
25,Innocence,100111,21,Biting Through,100101,2,lower
25,Innocence,100111,17,Following,100110,1,lower
26,Taming Power of the Great,111001,18,Work on Decayed,011001,6,upper
26,Taming Power of the Great,111001,22,Grace,101001,5,upper
26,Taming Power of the Great,111001,42,Increase,110001,4,upper
26,Taming Power of the Great,111001,14,Possession in Great Measure,111101,3,lower
26,Taming Power of the Great,111001,10,Treading,111011,2,lower
26,Taming Power of the Great,111001,12,Standstill,111000,1,lower
27,Corners of the Mouth,100001,23,Splitting Apart,000001,6,upper
27,Corners of the Mouth,100001,42,Increase,110001,5,upper
27,Corners of the Mouth,100001,22,Grace,101001,4,upper
27,Corners of the Mouth,100001,21,Biting Through,100101,3,lower
27,Corners of the Mouth,100001,41,Decrease,100011,2,lower
27,Corners of the Mouth,100001,24,Return,100000,1,lower
28,Preponderance of the Great,011110,43,Breakthrough,111110,6,upper
28,Preponderance of the Great,011110,31,Influence,001110,5,upper
28,Preponderance of the Great,011110,47,Oppression,010110,4,upper
28,Preponderance of the Great,011110,48,The Well,011010,3,lower
28,Preponderance of the Great,011110,32,Duration,011100,2,lower
28,Preponderance of the Great,011110,44,Coming to Meet,011111,1,lower
29,The Abysmal,010010,60,Limitation,110010,6,upper
29,The Abysmal,010010,7,The Army,000010,5,upper
29,The Abysmal,010010,48,The Well,011010,4,upper
29,The Abysmal,010010,47,Oppression,010110,3,lower
29,The Abysmal,010010,8,Holding Together,010000,2,lower
29,The Abysmal,010010,59,Dispersion,010011,1,lower
30,The Clinging,101101,55,Abundance,001101,6,upper
30,The Clinging,101101,14,Possession in Great Measure,111101,5,upper
30,The Clinging,101101,21,Biting Through,100101,4,upper
30,The Clinging,101101,22,Grace,101001,3,lower
30,The Clinging,101101,13,Fellowship with Men,101111,2,lower
30,The Clinging,101101,56,The Wanderer,101100,1,lower
31,Influence,001110,49,Revolution,101110,6,upper
31,Influence,001110,28,Preponderance of the Great,011110,5,upper
31,Influence,001110,45,Gathering Together,000110,4,upper
31,Influence,001110,40,Deliverance,001010,3,lower
31,Influence,001110,62,Preponderance of the Small,001100,2,lower
31,Influence,001110,33,Retreat,001111,1,lower
32,Duration,011100,34,Power of the Great,111100,6,upper
32,Duration,011100,62,Preponderance of the Small,001100,5,upper
32,Duration,011100,39,Obstruction,010100,4,upper
32,Duration,011100,46,Pushing Upward,011000,3,lower
32,Duration,011100,28,Preponderance of the Great,011110,2,lower
32,Duration,011100,50,The Cauldron,011101,1,lower
33,Retreat,001111,13,Fellowship with Men,101111,6,upper
33,Retreat,001111,44,Coming to Meet,011111,5,upper
33,Retreat,001111,11,Peace,000111,4,upper
33,Retreat,001111,53,Development,001011,3,lower
33,Retreat,001111,55,Abundance,001101,2,lower
33,Retreat,001111,31,Influence,001110,1,lower
34,Power of the Great,111100,32,Duration,011100,6,upper
34,Power of the Great,111100,56,The Wanderer,101100,5,upper
34,Power of the Great,111100,54,The Marrying Maiden,110100,4,upper
34,Power of the Great,111100,12,Standstill,111000,3,lower
34,Power of the Great,111100,43,Breakthrough,111110,2,lower
34,Power of the Great,111100,14,Possession in Great Measure,111101,1,lower
35,Progress,000101,21,Biting Through,100101,6,upper
35,Progress,000101,64,Before Completion,010101,5,upper
35,Progress,000101,55,Abundance,001101,4,upper
35,Progress,000101,23,Splitting Apart,000001,3,lower
35,Progress,000101,11,Peace,000111,2,lower
35,Progress,000101,16,Enthusiasm,000100,1,lower
36,Darkening of the Light,101000,15,Modesty,001000,6,upper
36,Darkening of the Light,101000,12,Standstill,111000,5,upper
36,Darkening of the Light,101000,24,Return,100000,4,upper
36,Darkening of the Light,101000,56,The Wanderer,101100,3,lower
36,Darkening of the Light,101000,63,After Completion,101010,2,lower
36,Darkening of the Light,101000,22,Grace,101001,1,lower
37,The Family,101011,53,Development,001011,6,upper
37,The Family,101011,10,Treading,111011,5,upper
37,The Family,101011,41,Decrease,100011,4,upper
37,The Family,101011,13,Fellowship with Men,101111,3,lower
37,The Family,101011,22,Grace,101001,2,lower
37,The Family,101011,63,After Completion,101010,1,lower
38,Opposition,110101,64,Before Completion,010101,6,upper
38,Opposition,110101,21,Biting Through,100101,5,upper
38,Opposition,110101,14,Possession in Great Measure,111101,4,upper
38,Opposition,110101,42,Increase,110001,3,lower
38,Opposition,110101,9,Taming Power of the Small,110111,2,lower
38,Opposition,110101,54,The Marrying Maiden,110100,1,lower
39,Obstruction,010100,54,The Marrying Maiden,110100,6,upper
39,Obstruction,010100,16,Enthusiasm,000100,5,upper
39,Obstruction,010100,32,Duration,011100,4,upper
39,Obstruction,010100,8,Holding Together,010000,3,lower
39,Obstruction,010100,47,Oppression,010110,2,lower
39,Obstruction,010100,64,Before Completion,010101,1,lower
40,Deliverance,001010,63,After Completion,101010,6,upper
40,Deliverance,001010,48,The Well,011010,5,upper
40,Deliverance,001010,7,The Army,000010,4,upper
40,Deliverance,001010,31,Influence,001110,3,lower
40,Deliverance,001010,15,Modesty,001000,2,lower
40,Deliverance,001010,53,Development,001011,1,lower
41,Decrease,100011,20,Contemplation,000011,6,upper
41,Decrease,100011,61,Inner Truth,110011,5,upper
41,Decrease,100011,37,The Family,101011,4,upper
41,Decrease,100011,25,Innocence,100111,3,lower
41,Decrease,100011,27,Corners of the Mouth,100001,2,lower
41,Decrease,100011,4,Youthful Folly,100010,1,lower
42,Increase,110001,3,Difficulty at the Beginning,010001,6,upper
42,Increase,110001,27,Corners of the Mouth,100001,5,upper
42,Increase,110001,26,Taming Power of the Great,111001,4,upper
42,Increase,110001,38,Opposition,110101,3,lower
42,Increase,110001,61,Inner Truth,110011,2,lower
42,Increase,110001,19,Approach,110000,1,lower
43,Breakthrough,111110,28,Preponderance of the Great,011110,6,upper
43,Breakthrough,111110,49,Revolution,101110,5,upper
43,Breakthrough,111110,58,The Joyous,110110,4,upper
43,Breakthrough,111110,6,Conflict,111010,3,lower
43,Breakthrough,111110,34,Power of the Great,111100,2,lower
43,Breakthrough,111110,1,The Creative,111111,1,lower
44,Coming to Meet,011111,1,The Creative,111111,6,upper
44,Coming to Meet,011111,33,Retreat,001111,5,upper
44,Coming to Meet,011111,5,Waiting,010111,4,upper
44,Coming to Meet,011111,57,The Gentle,011011,3,lower
44,Coming to Meet,011111,50,The Cauldron,011101,2,lower
44,Coming to Meet,011111,28,Preponderance of the Great,011110,1,lower
45,Gathering Together,000110,17,Following,100110,6,upper
45,Gathering Together,000110,47,Oppression,010110,5,upper
45,Gathering Together,000110,31,Influence,001110,4,upper
45,Gathering Together,000110,7,The Army,000010,3,lower
45,Gathering Together,000110,16,Enthusiasm,000100,2,lower
45,Gathering Together,000110,11,Peace,000111,1,lower
46,Pushing Upward,011000,12,Standstill,111000,6,upper
46,Pushing Upward,011000,15,Modesty,001000,5,upper
46,Pushing Upward,011000,8,Holding Together,010000,4,upper
46,Pushing Upward,011000,32,Duration,011100,3,lower
46,Pushing Upward,011000,48,The Well,011010,2,lower
46,Pushing Upward,011000,18,Work on Decayed,011001,1,lower
47,Oppression,010110,58,The Joyous,110110,6,upper
47,Oppression,010110,45,Gathering Together,000110,5,upper
47,Oppression,010110,28,Preponderance of the Great,011110,4,upper
47,Oppression,010110,29,The Abysmal,010010,3,lower
47,Oppression,010110,39,Obstruction,010100,2,lower
47,Oppression,010110,5,Waiting,010111,1,lower
48,The Well,011010,6,Conflict,111010,6,upper
48,The Well,011010,40,Deliverance,001010,5,upper
48,The Well,011010,29,The Abysmal,010010,4,upper
