hexagram_id,name,phase_bits,phase_temporal,category,action,agent_type,domain,element_subset,coder_specialty,rs3_actionable,chaos,whimsy,darkTone,coherence,voiceWeight,exp_chaos,exp_whimsy,exp_darkTone,exp_coherence,exp_voiceWeight,qdot_chaos,qdot_whimsy,qdot_darkTone,qdot_coherence,qdot_voiceWeight,dy_yang_yin,yao_dy,changing_dy,dominant_intent,intensity,query_tokens,training_notes
1,The Creative,0,past,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.18731,0.06873,0.21756,0.53871,0.6184,0.18731,0.06873,0.16756,0.52871,0.6284,0.0,0.0,0.05,0.01,-0.01,6.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,1,present,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.1242,0.18445,0.06581,0.52815,0.55012,0.0842,0.10445,0.06581,0.53815,0.54012,0.04,0.08,0.0,-0.01,0.01,4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,2,future,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.1042,0.19445,0.06581,0.53815,0.56012,0.0842,0.10445,0.06581,0.53815,0.54012,0.02,0.09,0.0,0.0,0.02,4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,3,transition,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.17396,0.20769,0.07121,0.51141,0.5372,0.12396,0.15769,0.05121,0.53141,0.5372,0.05,0.05,0.02,-0.02,0.0,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,4,resolution,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.0542,0.08445,0.07546,0.58815,0.57012,0.0842,0.10445,0.09546,0.53815,0.54012,-0.03,-0.02,-0.02,0.05,0.03,4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,5,dissolution,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.18396,0.19769,0.14793,0.50141,0.5172,0.12396,0.15769,0.09793,0.53141,0.5372,0.06,0.04,0.05,-0.03,-0.02,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,6,crystallization,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.10396,0.14769,0.04121,0.57141,0.5772,0.12396,0.15769,0.05121,0.53141,0.5372,-0.02,-0.01,-0.01,0.04,0.04,2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
1,The Creative,7,void,sovereign,ASSERT,architect,assertion,heaven,Research,attack,0.14485,0.21429,0.09411,0.60082,0.59133,0.14485,0.21429,0.09411,0.60082,0.59133,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Pure yang — sovereign command voice. Absolute clarity, zero hesitation. The Creative speaks with the weight of genesis."
2,The Receptive,0,past,transformer,YIELD,integrator,reception,earth,Dev,interact,0.04098,0.1265,0.08279,0.38853,0.37965,0.04098,0.1265,0.03279,0.37853,0.38965,0.0,0.0,0.05,0.01,-0.01,-6.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,1,present,transformer,YIELD,integrator,reception,earth,Dev,interact,0.11669,0.25367,0.053,0.45007,0.44547,0.07669,0.17367,0.053,0.46007,0.43547,0.04,0.08,0.0,-0.01,0.01,-4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,2,future,transformer,YIELD,integrator,reception,earth,Dev,interact,0.09669,0.26367,0.053,0.46007,0.45547,0.07669,0.17367,0.053,0.46007,0.43547,0.02,0.09,0.0,0.0,0.02,-4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,3,transition,transformer,YIELD,integrator,reception,earth,Dev,interact,0.1705,0.22322,0.09322,0.50409,0.50556,0.1205,0.17322,0.07322,0.52409,0.50556,0.05,0.05,0.02,-0.02,0.0,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,4,resolution,transformer,YIELD,integrator,reception,earth,Dev,interact,0.04669,0.15367,0.033,0.51007,0.46547,0.07669,0.17367,0.053,0.46007,0.43547,-0.03,-0.02,-0.02,0.05,0.03,-4.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,5,dissolution,transformer,YIELD,integrator,reception,earth,Dev,interact,0.1805,0.21322,0.15826,0.49409,0.48556,0.1205,0.17322,0.10826,0.52409,0.50556,0.06,0.04,0.05,-0.03,-0.02,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,6,crystallization,transformer,YIELD,integrator,reception,earth,Dev,interact,0.1005,0.16322,0.06322,0.56409,0.54556,0.1205,0.17322,0.07322,0.52409,0.50556,-0.02,-0.01,-0.01,0.04,0.04,-2.0,1.0,2.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
2,The Receptive,7,void,transformer,YIELD,integrator,reception,earth,Dev,interact,0.14543,0.17906,0.14465,0.61035,0.59047,0.14543,0.17906,0.14465,0.61035,0.59047,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,understand,0.04,shotgun|blast,"Pure yin — receptive, yielding, vast. The Receptive holds space without forcing. Earth-tone patience."
3,Difficulty at the Beginning,0,past,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.13109,0.12983,0.14491,0.40907,0.43767,0.13109,0.12983,0.09491,0.39907,0.44767,0.0,0.0,0.05,0.01,-0.01,-2.0,-3.0,-6.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,1,present,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.17351,0.2517,0.08539,0.4313,0.46975,0.13351,0.1717,0.08539,0.4413,0.45975,0.04,0.08,0.0,-0.01,0.01,0.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,2,future,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.15351,0.29135,0.08539,0.41906,0.45752,0.13351,0.20135,0.08539,0.41906,0.43752,0.02,0.09,0.0,0.0,0.02,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,3,transition,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.21514,0.27525,0.10485,0.44691,0.48487,0.16514,0.22525,0.08485,0.46691,0.48487,0.05,0.05,0.02,-0.02,0.0,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,4,resolution,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.10351,0.18135,0.08021,0.46906,0.46752,0.13351,0.20135,0.10021,0.41906,0.43752,-0.03,-0.02,-0.02,0.05,0.03,-2.0,-1.0,-2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
3,Difficulty at the Beginning,5,dissolution,dissipator,ADAPT,navigator,adaptation,thunder,HTML,traverse,0.22514,0.26525,0.18157,0.43691,0.46487,0.16514,0.22525,0.13157,0.46691,0.48487,0.06,0.04,0.05,-0.03,-0.02,0.0,1.0,2.0,understand,0.04,shotgun|blast,"Thunder below water — birth chaos. Difficulty at the Beginning is fragmented, stumbling, finding footing."
