hexagram_id,phase,voiceWeight,coherence,chaos,whimsy,darkTone,porosity_norm,dominant_axis,text
1,past,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>past <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,present,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>present <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,future,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>future <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,transition,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>transition <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,resolution,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>resolution <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,dissolution,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>dissolution <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,crystallization,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>crystallization <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,void,0.55042,0.53111,0.12605,0.16094,0.0938,0.25,voiceWeight,<|hexagram|>01 <|phase|>void <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>0.25 <|source|>baseline <|name|>The Creative
2,past,0.46878,0.48115,0.10355,0.19579,0.08147,0.25,coherence,<|hexagram|>02 <|phase|>past <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,present,0.46878,0.48115,0.10355,0.19579,0.08147,0.25,coherence,<|hexagram|>02 <|phase|>present <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
