hexagram_id,phase,voiceWeight,coherence,chaos,whimsy,darkTone,porosity_norm,dominant_axis,text
1,past,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>past <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,present,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>present <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,future,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>future <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,transition,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>transition <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,resolution,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>resolution <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,dissolution,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>dissolution <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,crystallization,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>crystallization <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
1,void,0.96129,0.97951,0.06246,0.17114,0.015,0.25,coherence,<|hexagram|>01 <|phase|>void <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Creative
2,past,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>past <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,present,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>present <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,future,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>future <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,transition,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>transition <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,resolution,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>resolution <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,dissolution,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>dissolution <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,crystallization,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>crystallization <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
2,void,0.86636,0.95722,0.06246,0.12368,0.05871,0.25,coherence,<|hexagram|>02 <|phase|>void <|action|>YIELD <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Receptive
3,past,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>past <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,present,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>present <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,future,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>future <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,transition,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>transition <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,resolution,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>resolution <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,dissolution,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>dissolution <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,crystallization,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>crystallization <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
3,void,0.63398,0.50545,0.48948,0.57935,0.3108,0.5,voiceWeight,<|hexagram|>03 <|phase|>void <|action|>ADAPT <|dominant|>voiceWeight <|porosity|>0.50 <|source|>baseline <|name|>Difficulty at the Beginning
4,past,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>past <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,present,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>present <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,future,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>future <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,transition,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>transition <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,resolution,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>resolution <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,dissolution,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>dissolution <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,crystallization,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>crystallization <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
4,void,0.70472,0.64492,0.32507,0.73845,0.16125,0.5,whimsy,<|hexagram|>04 <|phase|>void <|action|>WAIT <|dominant|>whimsy <|porosity|>0.50 <|source|>baseline <|name|>Youthful Folly
5,past,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>past <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,present,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>present <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,future,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>future <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,transition,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>transition <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,resolution,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>resolution <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,dissolution,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>dissolution <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,crystallization,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>crystallization <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
5,void,0.80875,0.905,0.11754,0.27114,0.11379,0.5,coherence,<|hexagram|>05 <|phase|>void <|action|>WAIT <|dominant|>coherence <|porosity|>0.50 <|source|>baseline <|name|>Waiting
6,past,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>past <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,present,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>present <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,future,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>future <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,transition,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>transition <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,resolution,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>resolution <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,dissolution,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>dissolution <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,crystallization,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>crystallization <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
6,void,0.84517,0.76958,0.40455,0.1887,0.29085,1.0,voiceWeight,<|hexagram|>06 <|phase|>void <|action|>ASSERT <|dominant|>voiceWeight <|porosity|>1.00 <|source|>baseline <|name|>Conflict
7,past,0.95872,0.97125,0.09499,0.10876,0.2612,0.25,coherence,<|hexagram|>07 <|phase|>past <|action|>ASSERT <|dominant|>coherence <|porosity|>0.25 <|source|>baseline <|name|>The Army
